2025-03-17 09:09:39,403 INFO    Thread-39 (_run_job):17444 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 09:09:39,405 INFO    Thread-39 (_run_job):17444 [wandb_setup.py:_flush():67] Configure stats pid to 17444
2025-03-17 09:09:39,405 INFO    Thread-39 (_run_job):17444 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\.config\wandb\settings
2025-03-17 09:09:39,405 INFO    Thread-39 (_run_job):17444 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\settings
2025-03-17 09:09:39,406 INFO    Thread-39 (_run_job):17444 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 09:09:39,406 INFO    Thread-39 (_run_job):17444 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_090939-27tihxpu\logs\debug.log
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_090939-27tihxpu\logs\debug-internal.log
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():761] calling init triggers
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation_func': 'SIGMOID', 'batch_size': 16, 'epochs': 10, 'hidden_neurons': 64, 'init_method': 'RANDOM', 'layers': 2, 'learning_rate': 0.001, 'optimizer': 'MGD', 'weight_decay': 0.5}
config: {'max_epochs': 5, 'hidden_layers': 3, 'hidden_neurons': 32, 'weight_decay': 0, 'learning_rate': 0.001, 'optimizer': 'MGD', 'batch_size': 16, 'activation': 'TANH', 'initializer': 'XAVIER', 'loss_function': 'CROSS', '_wandb': {}}
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():784] starting backend
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():788] sending inform_init request
2025-03-17 09:09:39,416 INFO    Thread-39 (_run_job):17444 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 09:09:39,422 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():798] backend started and connected
2025-03-17 09:09:39,423 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_config_callback():1261] config_cb None None {'activation_func': 'SIGMOID', 'batch_size': 16, 'epochs': 10, 'hidden_neurons': 64, 'init_method': 'RANDOM', 'layers': 2, 'learning_rate': 0.001, 'optimizer': 'MGD', 'weight_decay': 0.5}
2025-03-17 09:09:39,424 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():891] updated telemetry
2025-03-17 09:09:39,425 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 09:09:39,897 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 09:09:40,072 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 09:09:40,072 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 09:09:40,072 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 09:09:40,072 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 09:09:40,074 INFO    Thread-39 (_run_job):17444 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 09:14:22,058 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_finish():2112] finishing run singhsonalika5-indian-institute-of-technology-madras/Fashion_MNIST_Images/27tihxpu
2025-03-17 09:14:22,058 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 09:14:22,059 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_restore():2322] restore
2025-03-17 09:14:22,059 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_restore():2328] restore done
2025-03-17 09:14:24,350 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 09:14:24,350 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 09:14:24,350 INFO    Thread-39 (_run_job):17444 [wandb_run.py:_footer_sync_info():3917] logging synced files
