2025-03-17 01:50:19,221 INFO    Thread-12 (_run_job):13928 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_setup.py:_flush():67] Configure stats pid to 13928
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\.config\wandb\settings
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\settings
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_015019-vc65huem\logs\debug.log
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_015019-vc65huem\logs\debug-internal.log
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():761] calling init triggers
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation_func': 'SIGMOID', 'batch_size': 32, 'epochs': 5, 'hidden_neurons': 128, 'init_method': 'XAVIER', 'layers': 4, 'learning_rate': 0.001, 'optimizer': 'ADAM', 'weight_decay': 0}
config: {'max_epochs': 5, 'hidden_layers': 3, 'hidden_neurons': 32, 'weight_decay': 0, 'learning_rate': 0.001, 'optimizer': 'MGD', 'batch_size': 16, 'activation': 'TANH', 'initializer': 'XAVIER', 'loss_function': 'CROSS', '_wandb': {}}
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():784] starting backend
2025-03-17 01:50:19,223 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():788] sending inform_init request
2025-03-17 01:50:19,228 INFO    Thread-12 (_run_job):13928 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 01:50:19,228 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():798] backend started and connected
2025-03-17 01:50:19,229 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_config_callback():1261] config_cb None None {'activation_func': 'SIGMOID', 'batch_size': 32, 'epochs': 5, 'hidden_neurons': 128, 'init_method': 'XAVIER', 'layers': 4, 'learning_rate': 0.001, 'optimizer': 'ADAM', 'weight_decay': 0}
2025-03-17 01:50:19,230 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():891] updated telemetry
2025-03-17 01:50:19,231 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 01:50:19,679 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 01:50:19,828 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 01:50:19,829 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 01:50:19,829 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 01:50:19,829 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 01:50:19,830 INFO    Thread-12 (_run_job):13928 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 01:55:09,286 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_finish():2112] finishing run singhsonalika5-indian-institute-of-technology-madras/Fashion_MNIST_Images/vc65huem
2025-03-17 01:55:09,286 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 01:55:09,286 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_restore():2322] restore
2025-03-17 01:55:09,286 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_restore():2328] restore done
2025-03-17 01:55:11,793 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 01:55:11,794 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 01:55:11,795 INFO    Thread-12 (_run_job):13928 [wandb_run.py:_footer_sync_info():3917] logging synced files
